Module,Screen_Name,UI_Control_Or_Button,Control_Type,What_This_Button_Does,Where_It_Connects_And_Saves,Where_Options_Come_From,Impact_On_POS_And_Operations
Management,Branches,isMultiBranch Toggle,Toggle Switch,"Toggles between Single-Shop mode (1 store) and Multi-Branch mode (multiple stores)","Saves to Organization Profile (organisations table)","System Setting in Top Header / Settings","When OFF: locks all POS sales to Main Branch. When ON: activates Branch Switcher and Inter-Branch Stock Transfers."
Management,Branches,+ Add New Branch,Button,Opens the Add Branch popup modal to register a new store or warehouse,"Saves new branch record to Branches Table and adds it to the active branches list","Triggered by user click on Branches screen","Makes the new branch selectable immediately in POS billing and branch switcher dropdown."
Management,Branches,Branch Type Dropdown,Dropdown Selector,"Selects category: Hospital Pharmacy, Retail Store, Central Warehouse, or Clinic Dispensary","Saves to branches.type in the database","Predefined Master Categories (Hospital, Retail, Warehouse, Clinic)","If Central Warehouse: can receive distributor purchase orders but cannot sell to retail walk-ins. If Hospital: enables inpatient prescription billing."
Management,Branches,Invoice Prefix Input,Text Input,"Defines the bill prefix code for this store (e.g., FIT-, PNE-, MUM-)","Saves to branches.invoice_prefix and connects to number_sequences table","Entered by Admin during branch creation/edit","Directly connects to POS Billing Machine. Every bill printed at this branch starts with this prefix (e.g., PNE-1001, PNE-1002)."
Management,Branches,Drug License No. & GSTIN,Text Inputs,Enters statutory Drug License (Form 20/21) and 15-character GSTIN number,Saves to Branch Details in database,Entered by Admin from government certificates,Automatically prints on every customer Tax Invoice header and exports to monthly GSTR-1 tax filings.
Management,Branches,Operating Status Dropdown,Dropdown Selector,"Sets branch to 'Active' or 'Inactive'","Saves to branches.status","Options: Active, Inactive","If Inactive: removes branch from POS cashier switcher and prevents opening register shifts at this location."
Management,Branches,View Details Button,Row Action Button,Opens popup showing branch statistics (Staff count, SKU count, Monthly Revenue),Reads data from that specific branch's sales and inventory records,Generated dynamically per branch card,Allows admin to inspect location performance without leaving the screen.
Management,Branches,Edit Branch Button,Row Action Button,Opens modal pre-filled with branch details to update phone, timings, or manager,Overwrites and updates that branch's record in the database,Loaded from existing branch record,Immediately updates receipt header details and branch information across the system.
Management,Branches,Deactivate / Delete Button,Row Action Button,Deactivates the branch location from the network,Sets status to 'Inactive' (Soft delete),Triggered on branch card,Prevents accidental data loss while immediately stopping new sales from this location.
Management,Branches,Branch Type Filter,Filter Dropdown,"Filters on-screen cards (All Types, Hospital, Retail, Warehouse)","Filters frontend state list view","Options: All Types, Hospital Pharmacy, Retail Store, Central Warehouse, Clinic Dispensary",Helps regional managers quickly find and audit specific store formats.
Management,Users & Staff,+ Add New Staff,Button,Opens employee onboarding form to create login and assign permissions,Saves new user to Users Table and creates login credentials,Triggered on Staff Directory screen,Allows the new employee to log in to POS or Web ERP.
Management,Users & Staff,Role Dropdown,Dropdown Selector,"Assigns job role (Administrator, Pharmacist, Cashier, Inventory Manager)","Saves to user record and links to Roles table","Loaded dynamically from the Roles & Permissions Module","Dictates what screens, menus, and buttons this employee can see and use."
Management,Users & Staff,Primary & Assigned Branches,Multi-Select Checkboxes,Selects which pharmacy locations this staff member can access and work at,"Saves to branch_assignments table in database","Loaded from the list of Active Branches","Controls which branches appear in this cashier's branch switcher dropdown."
Management,Users & Staff,4-Digit Access PIN,Text Input,Sets a 4-digit quick passcode (e.g. 1234 or 0000),Saves to user's access profile in database,Entered by Admin during staff creation,Connects directly to POS Cashier Screen for instant 1-second shift switching without typing email/password.
Management,Users & Staff,Send Invite Email Toggle,Toggle Switch,Toggles sending welcome email with temporary password,Triggers automated email notification service,Toggle Switch (ON / OFF),Sends secure login link to the new employee's inbox.
Management,Users & Staff,Reset Password Button,Row Action Button,Sends password reset link or generates temporary password,Updates user auth record in database,Triggered per staff member row,Resolves locked-out cashiers or staff forgetting their credentials.
Management,Users & Staff,Deactivate Staff Button,Row Action Button,Immediately revokes employee login and POS access,Sets user status to 'Inactive',Triggered per staff member row,Instantly blocks former employees from logging in or handling cash registers.
Management,Roles,+ Create Custom Role,Button,Opens form to define a new organizational role (e.g. Trainee Cashier),Saves new role definition to Roles Table,Triggered on Roles Directory screen,Makes the new role selectable in staff creation and permission matrix.
Management,Roles,Clone Permissions From,Dropdown Selector,Copies all access permissions from an existing role to save time,Reads permissions from source role and duplicates them for new role,Loaded from existing system roles,Speeds up creating specialized sub-roles (e.g. Senior vs Junior Pharmacist).
Management,Roles & Permissions,Select Role Dropdown,Dropdown Selector,Selects which role's security matrix you are currently viewing/editing,Loads permission states for that role from role_permissions table,Loaded from active roles list,Allows fine-tuning access for Cashiers independently from Pharmacists.
Management,Roles & Permissions,Permission Cell Click,Interactive Grid Cell,"Cycles permission state: Full Access (Green) -> Limited (Yellow) -> Blocked (Red) -> None (Grey)","Updates cell state in permissions matrix","4-State Security Cycle (Full, Limited, Blocked, None)","Controls individual button visibility (e.g. if 'Delete Bill' is Blocked for Cashier, delete button disappears from POS)."
Management,Roles & Permissions,Select All Permissions,Button,Grants Full Access across all 7 ERP modules with 1 click,Sets all matrix cells to Full Access,Action button on permissions screen,Used to quickly create administrative or super-user roles.
Management,Roles & Permissions,Clear All Permissions,Button,Revokes all access permissions across the matrix,Sets all matrix cells to None,Action button on permissions screen,Used to wipe permissions clean and configure from scratch.
Management,Roles & Permissions,Save Permissions Matrix,Button,Saves and commits the entire permissions matrix to database,"Saves to role_permissions table in database","Action button at bottom of matrix","Immediately enforces security rules across POS, mobile, and web apps."
Management,Audit Logs,Action & Severity Filters,Filter Dropdowns,"Filters logs by type (CREATE, UPDATE, DELETE, FINANCIAL) and Severity (Low, Med, High, Critical)","Filters audit logs database query","Options: All Actions, Financial, Security, CRUD","Enables store auditors to instantly inspect high-risk actions like voided bills and cash overages."
Management,Audit Logs,View Log Details,Row Action Button,Opens modal displaying exact JSON before-and-after values and IP address,Reads metadata column from audit_logs table,Generated per log entry,Provides legal proof of who modified medicine prices or stock quantities.
Settings,Tax & GST,GST Scheme Switch,Pill Button Switch,"Toggles between 'Regular GST' (Input Tax Credit) and 'Composition Scheme' (Flat Turnover Tax)","Saves to Organization GST Profile in database","Options: Regular vs Composition","If Composition: customer retail bills will not display CGST/SGST breakdowns; flat turnover tax is recorded."
Settings,Tax & GST,Tax-Inclusive Pricing,Toggle Switch,Toggles whether medicine MRP already includes GST or if GST is added on top,"Saves to Organization Settings (tax_inclusive_pricing)","Toggle Switch (ON / OFF)","Directly connects to POS Billing Calculator! If ON: Price = MRP / 1.12. If OFF: Total = Price + 12% GST."
Settings,Tax & GST,Auto Interstate Split,Toggle Switch,Automatically splits tax into CGST+SGST (local) or IGST (inter-state) based on customer state,Saves to Organization Settings (auto_interstate_split),Toggle Switch (ON / OFF),"Connects to POS Billing Screen! If customer is from another state, POS charges IGST instead of CGST+SGST."
Settings,Tax & GST,Auto 18% SaaS GST,Toggle Switch,Applies standard 18% GST on software subscriptions and franchise billing,Saves to Organization Settings (auto_saas_gst),Toggle Switch (ON / OFF),Automatically appends HSN/SAC code 997331 on franchise and subscription invoices.
Settings,Tax & GST,e-Invoicing Integration,Toggle Switch,Connects billing system to Government NIC e-Invoice portal,Saves to Organization Settings (e_invoicing_enabled),Toggle Switch (ON / OFF),Automatically generates government IRN number and QR code for B2B wholesale invoices.
Settings,Tax & GST,Save GST Configuration,Button,Commits all GSTIN, legal name, trade name, and toggle rules,Saves to organisations table in database,Action button on GST tab,Updates company details printed on all customer bills and GST reports.
Settings,Tax & GST,Apply to Billing Toggle,Toggle Switch (per tax),Turns an individual tax (like CGST 6%, SGST 6%, VAT 5%, Cess 1%) ON or OFF,"Saves to tax_rates.is_applied in database","Toggle Switch on each tax card in directory","Connects to POS Checkout! Only taxes with 'Apply to Billing = ON' will be calculated on customer bills."
Settings,Tax & GST,+ Add New Tax,Button,Opens modal to define a custom tax (e.g. 1% State Flood Cess),Saves new tax record to tax_rates table,Triggered on Taxes Directory tab,Adds the new tax to the system and makes it available for medicines and bills.
Settings,Tax & GST,Delete Tax Button,Row Action Button,Deletes a custom tax from the system,Removes tax from tax_rates table,Trash icon on custom tax cards,"Permanently removes custom tax (default taxes like CGST/SGST are protected and cannot be deleted)."
Settings,Subscriptions,Billing Cycle Switch,Horizontal Toggle Switch,"Switches pricing between 'Monthly' and 'Annual' (with 2 Months Free badge)","Updates on-screen pricing state and connects to plan checkout","Options: Monthly vs Annual","Recalculates displayed pricing and applies 2 months free discount on annual checkout."
Settings,Subscriptions,Upgrade to Plan Button,Card Action Button,Opens checkout modal to upgrade pharmacy tier (Starter -> Growth -> Enterprise),"Saves to subscriptions table and connects to payment gateway","Action button on each plan card","Unlocks multi-branch features, extra staff seats, and warehouse modules upon payment."
Settings,Subscriptions,Confirm Subscription Payment,Button,Completes subscription payment with 18% GST calculation,Updates organization plan status and renewal date,Action button in checkout modal,Activates new SaaS features immediately across all branch terminals.
Reports,Inventory,Export CSV Button,Button,Exports category stock valuation and demand forecast to spreadsheet file,"Connects to browser file download engine, downloads 'inventory_valuation_and_forecast.csv'","Generated from active inventory screen data","Provides pharmacy accountant with raw spreadsheet for stock audits and P&L accounting."
Reports,Inventory,Print / Export PDF Button,Button,Opens clean branded printable layout of inventory valuation,"Connects to browser print window / printer, allows 1-click printing or PDF save","Formatted printable stylesheet layout","Generates official stock valuation report for bank loan audits and tax verifications."
Reports,Inventory,Reorder Stock Button,Table Action Button,Identifies medicines running below safety threshold and reorders them,Navigates directly to Purchases Screen with medicine name and suggested quantity pre-filled,Action button on fast-moving medicines table,Prevents stockouts by turning demand forecast directly into a supplier purchase order.
Reports,Purchases,Export CSV Button,Button,Exports distributor spending, lead time, and fulfillment rates to spreadsheet,"Connects to browser download engine, downloads 'vendor_procurement_analytics.csv'","Generated from purchase orders and goods receipts data","Allows pharmacy owner to compare distributor pricing and delivery performance in Excel."
Reports,Purchases,Print / Export PDF Button,Button,Formats procurement analysis into executive PDF report,"Connects to browser print dialog / PDF printer","Formatted printable layout",Used for supplier negotiation meetings to demand better trade discounts.
Reports,Purchases,Create New Purchase Order,Button,Quick shortcut to issue a new stock order to top-performing vendors,Navigates directly to Purchases Screen (purchases),Action button in procurement header,Speeds up stock restocking with verified distributors.
Reports,Expiry Risk,Risk Level Filter Badges,Filter Badges,"Filters batches by urgency: Critical (<30 days), High Risk (<90 days), Medium (<180 days), Expired","Filters active table view by expiry threshold","Badges: Critical (Red), High (Orange), Med (Yellow), Expired (Dark Red)","Allows chief pharmacist to prioritize clearing stock before it turns into dead loss."
Reports,Expiry Risk,Return to Vendor Button,Table Action Button,Initiates credit note return for expiring medicines back to distributor,Navigates to Supplier Returns screen with batch number and vendor pre-filled,Action button on expiring batch row,Recovers pharmacy money by returning unsold medicines before expiry date.
Reports,Expiry Risk,Transfer Stock Button,Table Action Button,Transfers near-expiry medicines from slow store to high-volume hospital store,Navigates to Stock Transfer screen with medicine and batch pre-filled,Action button on expiring batch row,Ensures stock gets sold at high-traffic counters instead of expiring on the shelf.
Reports,Expiry Risk,Export CSV & Print PDF,Buttons,Exports complete batch expiry audit list with cost valuations,"Downloads 'batch_expiry_risk_report.csv' or prints PDF","Generated from batch expiry database",Mandatory compliance report for government FDA drug inspector visits.
